photo_path,ocr,category,time_ocr
pic/ocr/2024-09-06/B1730KFH_Masuk_2024-09-06-085950.png,B1730KFH,Masuk,2024-09-06 08:59:44
pic/ocr/2024-09-06/B1730KFH_Keluar_2024-09-06-090123.png,B1730KFH,Keluar,2024-09-06 09:01:17
pic/ocr/2024-09-06/B1730KFH_Masuk_2024-09-06-090953.png,B1730KFH,Masuk,2024-09-06 09:09:48
pic/ocr/2024-09-06/B1730KFH_Masuk_2024-09-06-091210.png,B1730KFH,Masuk,2024-09-06 09:12:06
pic/ocr/2024-09-06/B1730KFH_Keluar_2024-09-06-091242.png,B1730KFH,Keluar,2024-09-06 09:12:35
pic/ocr/2024-09-06/B1730KFH_Masuk_2024-09-06-091512.png,B1730KFH,Masuk,2024-09-06 09:15:05
pic/ocr/2024-09-06/B1730KFH_Keluar_2024-09-06-091532.png,B1730KFH,Keluar,2024-09-06 09:15:26
pic/ocr/2024-09-06/B1730KFH_Masuk_2024-09-06-091614.png,B1730KFH,Masuk,2024-09-06 09:16:09
pic/ocr/2024-09-06/B1730KFH_Keluar_2024-09-06-091630.png,B1730KFH,Keluar,2024-09-06 09:16:24
pic/ocr/2024-09-06/B9602KCA_Masuk_2024-09-06-092234.jpeg,B9602KCA,Masuk,2024-09-06 09:22:28
pic/ocr/2024-09-06/B1730KFH_Keluar_2024-09-06-093012.png,B1730KFH,Keluar,2024-09-06 09:30:06
pic/ocr/2024-09-06/B1730KFH_Keluar_2024-09-06-093055.png,B1730KFH,Keluar,2024-09-06 09:30:49
pic/ocr/2024-09-06/B9602KCA_Keluar_2024-09-06-093256.jpeg,B9602KCA,Keluar,2024-09-06 09:32:50
pic/ocr/2024-09-06/B9602KCA_Keluar_2024-09-06-093339.jpeg,B9602KCA,Keluar,2024-09-06 09:33:33
pic/ocr/2024-09-06/B9602KCA_Keluar_2024-09-06-093551.jpeg,B9602KCA,Keluar,2024-09-06 09:35:45
pic/ocr/2024-09-06/B9602KCA_Keluar_2024-09-06-093633.jpeg,B9602KCA,Keluar,2024-09-06 09:36:27
pic/ocr/2024-09-06/B9602KCA_Masuk_2024-09-06-093855.jpeg,B9602KCA,Masuk,2024-09-06 09:38:49
pic/ocr/2024-09-06/B9602KCA_Keluar_2024-09-06-093908.jpeg,B9602KCA,Keluar,2024-09-06 09:39:03
pic/ocr/2024-09-06/B9602KCA_Keluar_2024-09-06-094049.jpeg,B9602KCA,Keluar,2024-09-06 09:40:43
pic/ocr/2024-09-06/Z9273MG_Masuk_2024-09-06-095129.jpeg,Z9273MG,Masuk,2024-09-06 09:51:23
pic/ocr/2024-09-06/Z9273MG_Keluar_2024-09-06-095214.jpeg,Z9273MG,Keluar,2024-09-06 09:52:08
pic/ocr/2024-09-06/Z9273MG_Keluar_2024-09-06-095240.jpeg,Z9273MG,Keluar,2024-09-06 09:52:34
pic/ocr/2024-09-06/B1730KFH_Masuk_2024-09-06-101131.jpeg,B1730KFH,Masuk,2024-09-06 10:11:25
pic/ocr/2024-09-06/B1730KFH_Masuk_2024-09-06-102607.jpeg,B1730KFH,Masuk,2024-09-06 10:26:00
